Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1973,3454.818040541," (adjusted for inflation, 2024 dollars)",1973,$3.5B,,$14.2B,,$14247.4B,3454.818040541,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1974,3494.482734280," (adjusted for inflation, 2024 dollars)",1974,$3.5B,,$14.0B,,$13996.4B,3494.482734280,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1975,3399.269275093," (adjusted for inflation, 2024 dollars)",1975,$3.4B,,$13.9B,,$13926.5B,3399.269275093,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1976,3738.908256591," (adjusted for inflation, 2024 dollars)",1976,$3.7B,,$15.1B,,$15089.6B,3738.908256591,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1977,4198.049158416," (adjusted for inflation, 2024 dollars)",1977,$4.2B,,$18.1B,,$18121.5B,4198.049158416,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1978,4560.999570552," (adjusted for inflation, 2024 dollars)",1978,$4.6B,,$19.9B,,$19876.9B,4560.999570552,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1979,2956.713260331," (adjusted for inflation, 2024 dollars)",1979,$3.0B,,$15.9B,,$15881.0B,2956.713260331,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1980,2006.239114078," (adjusted for inflation, 2024 dollars)",1980,$2.0B,,$14.0B,,$14017.0B,2006.239114078,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1981,1080.139240924," (adjusted for inflation, 2024 dollars)",1981,$1.1B,,$13.7B,,$13713.6B,1080.139240924,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",8 - Track,Value (Adjusted),1982,117.023875648," (adjusted for inflation, 2024 dollars)",1982,,$117.0M,$11.8B,,$11795.4B,117.023875648,1982
