,index,Year,Format,Units(M),Revenue(M),Revenue(B),media,ownership
0,0.0,1973,8 - Track,91.0,3454.818040541,3.454818040541,physical,owned
1,1.0,1973,Cassette,15.0,536.945135135,0.536945135135,physical,owned
2,2.0,1973,LP/EP,280.0,8803.074189189,8.803074189189,physical,owned
3,3.0,1973,Other Tapes,2.2,110.215054054,0.110215054054,physical,owned
4,4.0,1973,Vinyl Single,228.0,1342.362837838,1.342362837838,physical,owned
5,5.0,1974,8 - Track,96.7,3494.48273428,3.49448273428,physical,owned
6,6.0,1974,Cassette,15.3,554.841395538,0.554841395538,physical,owned
7,7.0,1974,LP/EP,276.0,8628.03821501,8.62803821501,physical,owned
8,8.0,1974,Other Tapes,1.9,84.62603854,0.08462603854,physical,owned
9,9.0,1974,Vinyl Single,204.0,1234.39484787,1.23439484787,physical,owned
10,10.0,1975,8 - Track,94.6,3399.269275093,3.3992692750930003,physical,owned
11,11.0,1975,Cassette,16.2,576.068275093,0.5760682750930001,physical,owned
12,12.0,1975,LP/EP,257.0,8658.516078067,8.658516078066999,physical,owned
13,13.0,1975,Other Tapes,1.5,59.472635688,0.059472635688,physical,owned
14,14.0,1975,Vinyl Single,164.0,1233.182592937,1.233182592937,physical,owned
15,15.0,1976,8 - Track,106.1,3738.908256591,3.738908256591,physical,owned
16,16.0,1976,Cassette,21.8,803.242307557,0.803242307557,physical,owned
17,17.0,1976,LP/EP,273.0,9168.098541301,9.168098541301001,physical,owned
18,18.0,1976,Other Tapes,0.7,28.116237258,0.028116237258000002,physical,owned
19,19.0,1976,Vinyl Single,190.0,1351.23328471,1.35123328471,physical,owned
20,20.0,1977,8 - Track,127.3,4198.049158416,4.1980491584160005,physical,owned
21,21.0,1977,Cassette,36.9,1292.025980198,1.292025980198,physical,owned
22,22.0,1977,LP/EP,344.0,11362.685212871,11.362685212871,physical,owned
23,23.0,1977,Vinyl Single,190.0,1268.732242574,1.2687322425740002,physical,owned
24,24.0,1978,8 - Track,133.6,4560.999570552,4.560999570551999,physical,owned
25,25.0,1978,Cassette,61.3,2164.069205521,2.1640692055210002,physical,owned
26,26.0,1978,LP/EP,341.3,11899.493921779,11.899493921779,physical,owned
27,27.0,1978,Vinyl Single,190.0,1252.350409509,1.252350409509,physical,owned
28,28.0,1979,8 - Track,102.3,2956.713260331,2.956713260331,physical,owned
29,29.0,1979,Cassette,78.5,2508.647842975,2.508647842975,physical,owned
30,30.0,1979,LP/EP,290.0,8887.855,8.887855,physical,owned
31,31.0,1979,Vinyl Single,212.0,1527.829619835,1.5278296198349999,physical,owned
32,32.0,1980,8 - Track,85.0,2006.239114078,2.0062391140780003,physical,owned
